unique_ncaa_team,lower_ncaa_team
Abilene Christian,abilene-christian
Air Force,air-force
Akron,akron
Alabama,alabama
Alabama State,alabama-state
Albany,albany
Alcorn State,alcorn-state
American,american
Appalachian State,appalachian-state
Arizona,arizona
Arizona State,arizona-state
Arkansas,arkansas
Arkansas State,arkansas-state
Arkansas–Pine Bluff,arkansas–pine-bluff
Auburn,auburn
Austin Peay,austin-peay
BYU,ball-state
Ball State,baylor
Baylor,belmont
Belmont,binghamton
Binghamton,boise-state
Boise State,boston-college
Boston College,boston-university
Boston University,bradley
Bradley,brigham-young
Brigham Young,bucknell
Bucknell,buffalo
Buffalo,butler
Butler,brigham-young
Cal Poly,cal-poly
Cal State Bakersfield,cal-state-bakersfield
Cal State Fullerton,cal-state-fullerton
Cal State Northridge,cal-state-northridge
California,california
Campbell,campbell
Canisius,canisius
Central Connecticut,central-connecticut
Central Connecticut State,central-connecticut-state
Central Florida,central-florida
Central Michigan,central-michigan
Charleston,charleston
Charleston Southern,charleston-southern
Charlotte,charlotte
Chattanooga,chattanooga
Cincinnati,cincinnati
Clemson,clemson
Cleveland State,cleveland-state
Coastal Carolina,coastal-carolina
Colgate,colgate
College of Charleston,college-of-charleston
Colorado,colorado
Colorado State,colorado-state
Connecticut,connecticut
Coppin State,coppin-state
Cornell,cornell
Creighton,creighton
Davidson,davidson
Dayton,dayton
DePaul,delaware
Delaware,delaware-state
Delaware State,depaul
Detroit,detroit
Detroit Mercy,detroit-mercy
Drake,drake
Drexel,drexel
Duke,duke
Duquesne,duquesne
East Carolina,east-carolina
East Tennessee State,east-tennessee-state
Eastern Illinois,eastern-illinois
Eastern Kentucky,eastern-kentucky
Eastern Michigan,eastern-michigan
Eastern Washington,eastern-washington
Evansville,evansville
FIU,fairfield
Fairfield,fairleigh-dickinson
Fairleigh Dickinson,florida-international
Florida,florida
Florida A&M,florida-a&m
Florida Atlantic,florida-atlantic
Florida Gulf Coast,florida-gulf-coast
Florida State,florida-state
Fordham,fordham
Fresno State,fresno-state
Furman,furman
Gardner–Webb,gardner–webb
George Mason,george-mason
George Washington,george-washington
Georgetown,georgetown
Georgia,georgia
Georgia Southern,georgia-southern
Georgia State,georgia-state
Georgia Tech,georgia-tech
Gonzaga,gonzaga
Grand Canyon,grand-canyon
Green Bay,green-bay
Hampton,hampton
Hartford,hartford
Harvard,harvard
Hawaii,hawaii
Hofstra,hofstra
Holy Cross,holy-cross
Houston,houston
Howard,howard
IUPUI,illinois
Illinois,illinois-state
Illinois State,illinois–chicago
Illinois–Chicago,indiana
Indiana,indiana-state
Indiana State,iona
Iona,iowa
Iowa,iowa-state
Iowa State,iupui
Jackson State,jackson-state
Jacksonville State,jacksonville-state
James Madison,james-madison
Kansas,kansas
Kansas State,kansas-state
Kennesaw State,kennesaw-state
Kent State,kent-state
Kentucky,kentucky
LIU Brooklyn,la-salle
LIU-Brooklyn,lafayette
LSU,lamar
La Salle,lehigh
Lafayette,liberty
Lamar,lipscomb
Lehigh,little-rock
Liberty,liu-brooklyn
Lipscomb,liu-brooklyn
Little Rock,long-beach-state
Long Beach State,long-island
Long Island,longwood
Longwood,louisiana
Louisiana,louisiana-lafayette
Louisiana Tech,louisiana-tech
Louisiana-Lafayette,louisiana–lafayette
Louisiana–Lafayette,louisville
Louisville,loyola
Loyola,loyola-(md)
Loyola (MD),loyola-chicago
Loyola Chicago,loyola–chicago
Loyola–Chicago,louisiana-state
Manhattan,manhattan
Marquette,marquette
Marshall,marshall
Maryland,maryland
Massachusetts,massachusetts
McNeese,mcneese
McNeese State,mcneese-state
Memphis,memphis
Memphis State,memphis-state
Mercer,mercer
Miami,miami
Miami (FL),miami-(fl)
Miami (OH),miami-(oh)
Miami (Ohio),miami-(ohio)
Michigan,michigan
Michigan State,michigan-state
Middle Tennessee,middle-tennessee
Milwaukee,milwaukee
Minnesota,minnesota
Mississippi,mississippi
Mississippi State,mississippi-state
Mississippi Valley State,mississippi-valley-state
Missouri,missouri
Monmouth,monmouth
Montana,montana
Montana State,montana-state
Morehead State,morehead-state
Morgan State,morgan-state
Mount St. Mary's,mount-st.-mary's
Murray State,murray-state
NC State,navy
Navy,north-carolina-state
Nebraska,nebraska
Nevada,nevada
New Mexico,new-mexico
New Mexico State,new-mexico-state
New Orleans,new-orleans
Niagara,niagara
Nicholls State,nicholls-state
Norfolk State,norfolk-state
North Carolina,north-carolina
